City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Sitka,US,2021-11-08 20:29:08,57.0531,-135.33,280.09,61,20,3.6
281,Torbay,CA,2021-11-08 20:29:08,47.6666,-52.7314,282.36,78,75,3.6
282,Jagalur,IN,2021-11-08 20:29:08,14.5333,76.35,293.64,84,95,2.92
283,Saint-Joseph,RE,2021-11-08 20:29:09,-21.3667,55.6167,296.35,84,32,4.25
284,Kangaatsiaq,GL,2021-11-08 20:29:09,68.3065,-53.4641,264.75,75,100,4.2
285,Saint-Gabriel,CA,2021-11-08 20:29:10,46.3001,-73.3824,286.05,72,52,3.08
286,Palu,ID,2021-11-08 20:29:10,-0.8917,119.8707,297.86,96,100,1.07
287,Havre-Saint-Pierre,CA,2021-11-08 20:29:11,50.2334,-63.5986,282.48,81,90,3.6
288,Ginda,IN,2021-11-08 20:29:11,30.6945,78.4932,282.42,33,0,3.07
289,Port Moresby,PG,2021-11-08 20:29:11,-9.4431,147.1797,297.83,88,40,1.54
290,Portobelo,PA,2021-11-08 20:29:12,9.55,-79.65,300.4,82,99,1.7
